模块,卡片ID,题目,正确答案,卡片类型,音频链接
模块 01,601b0aa71685bf48bbb2fce7,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“H” 或 “h” 或 “H h” 或 “H,h” 或 “H, h”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/kviugksw6babjo80enyh.mp3
模块 01,601b0aa71685bf48bbb2fce9,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“K” 或 “k” 或 “K k” 或 “K,k” 或 “K, k”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/kodeasflbwxqgtm2jcna.mp3
模块 01,601b0aa71685bf48bbb2fceb,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“L” 或 “l” 或 “L l” 或 “L,l” 或 “L, l”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/nspqjutp5geaj4ndn6pf.mp3
模块 01,601b0aa81685bf48bbb2fced,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“Q” 或 “q” 或 “Q q” 或 “Q,q” 或 “Q, q”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ejtnq8rpzimv7ipjwnc4.mp3
模块 01,601b0aa81685bf48bbb2fcef,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“J” 或 “j” 或 “J j” 或 “J,j” 或 “J, j”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/j3dbqoljhsdqoxaconvm.mp3
模块 01,601b0aa81685bf48bbb2fcf1,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“I” 或 “i” 或 “I i” 或 “I,i” 或 “I, i”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/mnr1oyarp524fdreubfs.mp3
模块 01,601b0aa81685bf48bbb2fcf3,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“P” 或 “p” 或 “P p” 或 “P,p” 或 “P, p”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/kpuguqkbys8ayexydwlr.mp3
模块 01,601b0aa81685bf48bbb2fcf5,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“Ä” 或 “ä” 或 “Ä ä” 或 “Ä,ä” 或 “Ä, ä”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/wmusbrt0l4jf2ouovnbm.mp3
模块 01,601b0aa81685bf48bbb2fcf7,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“E” 或 “e” 或 “E e” 或 “E,e” 或 “E, e”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/hm1j8ohimr7u7telem7a.mp3
模块 01,601b0aa71685bf48bbb2fce5,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“R” 或 “r” 或 “R r” 或 “R,r” 或 “R, r”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/tgdzaaysmb9ovkjyty3g.mp3
模块 01,601b0aa81685bf48bbb2fcf9,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“F” 或 “f” 或 “F f” 或 “F,f” 或 “F, f”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/zkj4yswll6phv3ekue0c.mp3
模块 01,601b0aa81685bf48bbb2fcfb,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“Ö” 或 “ö” 或 “Ö ö” 或 “Ö,ö” 或 “Ö, ö”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/wlerwn1kk8qr6vgf1dfl.mp3
模块 01,601b0aa81685bf48bbb2fcfd,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“G” 或 “g” 或 “G g” 或 “G,g” 或 “G, g”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ujs7udwhupxo7mqqgimr.mp3
模块 01,601b0aa81685bf48bbb2fcff,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“D” 或 “d” 或 “D d” 或 “D,d” 或 “D, d”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/wik6a0sw9ivl2a96uxag.mp3
模块 01,601b0aa81685bf48bbb2fd01,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“O” 或 “o” 或 “O o” 或 “O,o” 或 “O, o”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/uwx5jbsk2df87o8mxc2l.mp3
模块 01,601b0aa81685bf48bbb2fd03,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“N” 或 “n” 或 “N n” 或 “N,n” 或 “N, n”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/yv9c5opdbmgnu1ompwqu.mp3
模块 01,601b0aa81685bf48bbb2fd05,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“B” 或 “b” 或 “B b” 或 “B,b” 或 “B, b”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/qkrwh6ior8v1bir0vbj8.mp3
模块 01,601b0aa81685bf48bbb2fd07,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“A” 或 “a” 或 “A a” 或 “A,a” 或 “A, a”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/wwyuosgbjirhk5n7e2xu.mp3
模块 01,601b0aa81685bf48bbb2fd09,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“M” 或 “m” 或 “M m” 或 “M,m” 或 “M, m”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/iglc7wu3mvptc4rcwziy.mp3
模块 01,601b0aa81685bf48bbb2fd0b,请播放音频 ，并拼写出您听到的 字母 （这是一道 填空题 ，不是选择题）。,"“C” 或 “c” 或 “C c” 或 “C,c” 或 “C, c”",dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/mqhatjedgxsisswyngd6.mp3
模块 01,606796d3b85fd9f56c2db239,请选出被标红的字母的发音和其他单词不同的那个单词：,"<span style=""color:red"">Aa</span>s",multi,
模块 01,6067987626c2b0f5dd80f1ec,请选出被标红的字母的发音和其他单词不同的那个单词：,"B<span style=""color:red"">ahn</span>",multi,
模块 01,6067992c26c2b0f5dd80f1ee,请选出被标红的字母的发音和其他单词不同的那个单词：,"h<span style=""color:red"">a</span>t",multi,
模块 01,6067999626c2b0f5dd80f1ef,请选出被标红的字母的发音和其他单词不同的那个单词：,"m<span style=""color:red"">a</span>tt",multi,
模块 01,606799f926c2b0f5dd80f1f0,请选出被标红的字母的发音和其他单词不同的那个单词：,"d<span style=""color:red"">e</span>n",multi,
模块 01,60679a4526c2b0f5dd80f1f1,请选出被标红的字母的发音和其他单词不同的那个单词：,"H<span style=""color:red"">e</span>md",multi,
模块 01,60679a9f26c2b0f5dd80f1f2,请选出被标红的字母的发音和其他单词不同的那个单词：,"Tag<span style=""color:red"">e</span>",multi,
模块 01,60679b1e26c2b0f5dd80f1f3,请选出下列单词中没有长元音的那个单词：,wenn,multi,
模块 01,60679bd026c2b0f5dd80f1f4,请选出被标红的字母的发音和其他单词不同的那个单词：,"B<span style=""color:red"">u</span>s",multi,
模块 01,60679c3a26c2b0f5dd80f1f5,请选出被标红的字母的发音和其他单词不同的那个单词：,"H<span style=""color:red"">un</span>d",multi,
模块 01,60679c8b26c2b0f5dd80f1f6,请选出被标红的字母的发音和其他单词不同的那个单词：,"<span style=""color:red"">u</span>m",multi,
模块 01,60679d2226c2b0f5dd80f1f7,请选出被标红的字母的发音和其他单词不同的那个单词：,"K<span style=""color:red"">i</span>no",multi,
模块 01,60679d7426c2b0f5dd80f1f8,请选出被标红的字母的发音和其他单词不同的那个单词：,"m<span style=""color:red"">i</span>t",multi,
模块 01,60679de526c2b0f5dd80f1f9,请选出被标红的字母的发音和其他单词不同的那个单词：,"<span style=""color:red"">i</span>m",multi,
模块 01,60679e3b26c2b0f5dd80f1fa,请选出被标红的字母的发音和其他单词不同的那个单词：,"b<span style=""color:red"">i</span>tte",multi,
模块 01,60679e9326c2b0f5dd80f1fb,请选出被标红的字母的发音和其他单词不同的那个单词：,"B<span style=""color:red"">o</span>nn",multi,
模块 01,60679ed926c2b0f5dd80f1fc,请选出被标红的字母的发音和其他单词不同的那个单词：,"T<span style=""color:red"">o</span>n",multi,
模块 01,60679f2426c2b0f5dd80f1fd,请选出被标红的字母的发音和其他单词不同的那个单词：,"K<span style=""color:red"">o</span>mma",multi,
模块 01,60679f7c26c2b0f5dd80f1fe,请选出被标红的字母的发音和其他单词不同的那个单词：,"<span style=""color:red"">B</span>ahn",multi,
模块 01,60679fe226c2b0f5dd80f1ff,请选出被标红的字母的发音和其他单词不同的那个单词：,"ha<span style=""color:red"">b</span>e",multi,
模块 01,6067a05026c2b0f5dd80f200,请选出被标红的字母的发音和其他单词不同的那个单词：,"Bo<span style=""color:red"">dd</span>ing",multi,
模块 01,6067a0a726c2b0f5dd80f201,请选出被标红的字母的发音和其他单词不同的那个单词：,"Kun<span style=""color:red"">d</span>e",multi,
模块 01,6067a0f726c2b0f5dd80f202,请选出被标红的字母的发音和其他单词不同的那个单词：,"ma<span style=""color:red"">g</span>",multi,
模块 01,6067a19e26c2b0f5dd80f203,请选出被标红的字母的发音和其他单词不同的那个单词：,"<span style=""color:red"">G</span>ummi",multi,
模块 01,6067a24626c2b0f5dd80f204,请选出被标红的字母的发音和其他单词不同的那个单词：,"h<span style=""color:red"">e</span>ran",multi,
模块 01,6067a29726c2b0f5dd80f205,请选出被标红的字母的发音和其他单词不同的那个单词：,"<span style=""color:red"">S</span>ee",multi,
模块 01,6067a30026c2b0f5dd80f206,请选出被标红的字母的发音和其他单词不同的那个单词：,"E<span style=""color:red"">ss</span>en",multi,
模块 01,6067a37026c2b0f5dd80f207,请选出被标红的字母的发音和其他单词不同的那个单词：,"<span style=""color:red"">V</span>itamin",multi,
模块 01,6067a3ce26c2b0f5dd80f208,请选出被标红的字母的发音和其他单词不同的那个单词：,"<span style=""color:red"">v</span>or",multi,
模块 01,6067a52126c2b0f5dd80f20c,请选出被标红的字母的发音和其他单词不同的那个单词：,"S<span style=""color:red"">ie</span>",multi,
模块 01,6067a5a226c2b0f5dd80f20d,请选出被标红的字母的发音和其他单词不同的那个单词：,"W<span style=""color:red"">ie</span>se",multi,
模块 01,6067a5fa26c2b0f5dd80f20e,请选出被标红的字母的发音和其他单词不同的那个单词：,"<span style=""color:red"">au</span>f",multi,
模块 01,6067a72526c2b0f5dd80f211,请选出含有不同元音音素（长音和短音算一个音素）的那个单词：,Käufe,multi,
模块 01,6067abc026c2b0f5dd80f275,请选出含有不同元音的那个单词：,Hände,multi,
模块 01,6067ac7b26c2b0f5dd80f2ab,请选出被标红的字母的发音和其他单词不同的那个单词：,"h<span style=""color:red"">ä</span>tte",multi,
模块 01,6067accb26c2b0f5dd80f2bf,请选出被标红的字母的发音和其他单词不同的那个单词：,"g<span style=""color:red"">ö</span>nnen",multi,
模块 01,6067af6226c2b0f5dd80f2d1,请选出被标红的字母的发音和其他单词不同的那个单词：,"M<span style=""color:red"">y</span>thos",multi,
模块 01,6067afd226c2b0f5dd80f2d2,请选出被标红的字母的发音和其他单词不同的那个单词：,"f<span style=""color:red"">ü</span>nf",multi,
模块 01,6067b02726c2b0f5dd80f2d3,请选出被标红的字母的发音和其他单词不同的那个单词：,"<span style=""color:red"">Y</span>oga",multi,
模块 01,6067b07d26c2b0f5dd80f2d4,请选出被标红的字母的发音和其他单词不同的那个单词：,"ne<span style=""color:red"">h</span>men",multi,
模块 01,6067b11d26c2b0f5dd80f2d5,请选出被标红的字母的发音和其他单词不同的那个单词：,"S<span style=""color:red"">y</span>stem",multi,
模块 01,6067b16b26c2b0f5dd80f2d6,请选出被标红的字母的发音和其他单词不同的那个单词：,"Haa<span style=""color:red"">r</span>",multi,
模块 01,6067b1da26c2b0f5dd80f2e4,请选出被标红的字母的发音和其他单词不同的那个单词：,"<span style=""color:red"">er</span>reichen",multi,
模块 01,6067b22a26c2b0f5dd80f2e5,请选出被标红的字母的发音和其他单词不同的那个单词：,"Schül<span style=""color:red"">er</span>",multi,
模块 01,6067b28526c2b0f5dd80f2e6,请选出被标红的字母的发音和其他单词不同的那个单词：,"<span style=""color:red"">S</span>alat",multi,
模块 01,6067b2dc26c2b0f5dd80f2e7,请选出被标红的字母的发音和其他单词不同的那个单词：,"Lek<span style=""color:red"">t</span>üre",multi,
模块 01,6067b38726c2b0f5dd80f2e8,请选出被标红的字母的发音和其他单词不同的那个单词：,"<span style=""color:red"">S</span>alat",multi,
模块 01,6067b47626c2b0f5dd80f2e9,请选出被标红的字母的发音和其他单词不同的那个单词：,"se<span style=""color:red"">chz</span>ig",multi,
模块 01,6067b4e926c2b0f5dd80f2ef,请选出被标红的字母的发音和其他单词不同的那个单词：,"Bu<span style=""color:red"">ch</span>",multi,
模块 01,6067b52a26c2b0f5dd80f2f0,请选出被标红的字母的发音和其他单词不同的那个单词：,"<span style=""color:red"">Ch</span>aos",multi,
模块 01,6067b5a526c2b0f5dd80f2f2,请选出被标红的字母的发音和其他单词不同的那个单词：,"wichti<span style=""color:red"">g</span>er",multi,
模块 01,6067b64926c2b0f5dd80f2f3,请选出被标红的字母的发音和其他单词不同的那个单词：,"<span style=""color:red"">S</span>albe",multi,
模块 01,6067b68826c2b0f5dd80f2f4,请选出被标红的字母的发音和其他单词不同的那个单词：,"<span style=""color:red"">Ch</span>aos",multi,
模块 01,6067b6c426c2b0f5dd80f2f5,请选出被标红的字母的发音和其他单词不同的那个单词：,"Bu<span style=""color:red"">ch</span>",multi,
模块 01,6067b73b26c2b0f5dd80f2f6,请选出单词中的 最后一个辅音 和其他单词不同的那个单词：,Fleisch,multi,
模块 01,6067b7a526c2b0f5dd80f2f7,请选出被标红的字母的发音和其他单词不同的那个单词：,"Ka<span style=""color:red"">st</span>en",multi,
模块 01,6067b7fb26c2b0f5dd80f2f8,请选出被标红的字母的发音和其他单词不同的那个单词：,"A<span style=""color:red"">s</span>pekt",multi,
模块 01,6067b85626c2b0f5dd80f2f9,请选出被标红的字母的发音和其他单词不同的那个单词：,"T<span style=""color:red"">u</span>rnschuh",multi,
模块 01,6067b92726c2b0f5dd80f31f,请选出被标红的字母的发音和其他单词不同的那个单词：,"Geträ<span style=""color:red"">n</span>k",multi,
模块 01,6067b98c26c2b0f5dd80f334,请选出被标红的字母的发音和其他单词不同的那个单词：,"L<span style=""color:red"">an</span>d",multi,
模块 01,5f64e23b9aaa9d99c3a59c9f,阳性名词“天、日、一天、一日、日子”用德语怎么拼写？,Tag,word,
模块 01,5f64f9d8463d62b8a226c567,请选择单词“Tag”的性,der,gender,
模块 01,5f64f62e3bcaa9b323ee1b19,名词“der Tag”是什么意思？,“天” 或 “日” 或 “一天” 或 “一日” 或 “日子” 或 “天” 或 “日” 或 “一天” 或 “一日” 或 “日子” 或 “天、日、一天、一日、日子”,meaningChinese,
模块 01,5f65062d77d760c87d2a856a,请播放音频 ，并拼写出您听到的 阳性名词 。,Tag,dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4114670_191776064_zj723j.mp3
模块 01,5f651922b01aade4fc01084d,请播放音频 ，并拼写出您听到的 阴性名词 。,Sprache,dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4115394_444728407.mp3
模块 01,5f651922b01aade4fc01084a,请选择单词“Sprache”的性,die,gender,
模块 01,5f650401275e35c6a9b3953e,请拼写出名词“Tag”的复数形式。,Tage,plural,
模块 01,5f651922b01aade4fc01084b,请拼写出名词“Sprache”的复数形式。,Sprachen,plural,
模块 01,5f6519c7b01aade4fc01084e,名词“die Sprache”是什么意思？,“语言” 或 “语言”,meaningChinese,
模块 01,5f651922b01aade4fc01084c,阴性名词“语言”用德语怎么拼写？,Sprache,word,
模块 01,5f6519fbb01aade4fc010850,请拼写出名词“Jahr”的复数形式。,Jahre,plural,
模块 01,5f6519fbb01aade4fc010851,中性名词“年、岁”用德语怎么拼写？,Jahr,word,
模块 01,5f6519fbb01aade4fc010852,请播放音频 ，并拼写出您听到的 中性名词 。,Jahr,dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4117480_379736008.mp3
模块 01,5f651a3db01aade4fc010853,名词“das Jahr”是什么意思？,“年” 或 “岁” 或 “年” 或 “岁” 或 “年、岁” 或 “年龄” 或 “年纪” 或 “年龄” 或 “年纪” 或 “年龄、年纪”,meaningChinese,
模块 01,5f6d5cf5fe4e8e0b076a19dd,“阳性和中性单数不定冠词”用德语怎么拼写？,ein,word,
模块 01,5f6d5cf5fe4e8e0b076a19de,请播放音频 ，并拼写出您听到的 单词 。,ein,dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/lmwujsomfmrjwggtfyvz.mp3
模块 01,5f6d5d23fe4e8e0b076a19df,“阳性单数主格定冠词”用德语怎么拼写？,der,word,
模块 01,5f6d5d23fe4e8e0b076a19e0,请播放音频 ，并拼写出您听到的 单词 。,der,dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/bjryvuqzexs1v3hbgjr2.mp3
模块 01,5f6d5d2cfe4e8e0b076a19e1,“阴性单数主格定冠词”用德语怎么拼写？,die,word,
模块 01,5f6519fbb01aade4fc01084f,请选择单词“Jahr”的性,das,gender,
模块 01,5f6d5d2dfe4e8e0b076a19e2,请播放音频 ，并拼写出您听到的 单词 。,die,dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/zstnaghwf3htsepge48i.mp3
模块 01,5f6d5d35fe4e8e0b076a19e3,“中性单数主格定冠词”用德语怎么拼写？,das,word,
模块 01,5f6d5d35fe4e8e0b076a19e4,请播放音频 ，并拼写出您听到的 单词 。,das,dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/f3ba2duthaciyjjbq3mt.mp3
模块 01,5f6e230c9d07b208e2101195,“复数主格定冠词”用德语怎么拼写？,die,word,
模块 01,5f872bc8a07f1b2b299640c8,“阴性单数主格不定冠词”用德语怎么拼写？,eine,word,
模块 01,5f872bc8a07f1b2b299640c9,请播放音频 ，并拼写出您听到的 单词 。,eine,dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/jf6cttaovvf5qjtnsuo0.mp3
模块 01,5f8a0d11cdda23045c1108cd,请播放音频 ，并提交您听到的 中性名词 的 中文意思。,“年” 或 “岁” 或 “年” 或 “岁” 或 “年、岁” 或 “年龄” 或 “年纪” 或 “年龄” 或 “年纪” 或 “年龄、年纪”,dictationChinese,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4117480_379736008.mp3
模块 01,5f8a0d12cdda23045c1108da,请播放音频 ，并提交您听到的 阳性名词 的 中文意思。,“天” 或 “日” 或 “一天” 或 “一日” 或 “日子” 或 “天” 或 “日” 或 “一天” 或 “一日” 或 “日子” 或 “天、日、一天、一日、日子”,dictationChinese,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4114670_191776064_zj723j.mp3
模块 01,5f8a0d12cdda23045c1108f1,请播放音频 ，并提交您听到的 阴性名词 的 中文意思。,“语言” 或 “语言”,dictationChinese,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4115394_444728407.mp3
模块 01,5f659a67fd24b5864ab9ce4f,请填写动词“kommen”的 一般现在时（Präsens） 动词变位表,komme,presentTenseConjugation,
模块 01,5f6599c2fd24b5864ab9ce4c,请填写动词“wohnen”的 一般现在时（Präsens） 动词变位表,wohne,presentTenseConjugation,
模块 01,5f659acdfd24b5864ab9ce51,动词“问、提问、请教”用德语怎么拼写？,fragen,word,
模块 01,5f659a67fd24b5864ab9ce4d,动词“来、来到、到达、去、过来”用德语怎么拼写？,kommen,word,
模块 01,5f65991dfd24b5864ab9ce49,动词“wohnen”是什么意思？,“住” 或 “居住” 或 “居” 或 “住宿” 或 “住” 或 “居住” 或 “居” 或 “住宿” 或 “住、居住、居、住宿”,meaningChinese,
模块 01,5f659aadfd24b5864ab9ce50,动词“kommen”是什么意思？,“来” 或 “来到” 或 “到达” 或 “去” 或 “过来” 或 “来” 或 “来到” 或 “到达” 或 “去” 或 “过来” 或 “来、来到、到达、去、过来” 或 “出席” 或 “参加” 或 “出席” 或 “参加” 或 “出席、参加” 或 “拜访” 或 “到……那儿去” 或 “拜访” 或 “到……那儿去” 或 “拜访、到……那儿去” 或 “对待” 或 “对待” 或 “（以某种方式）对待” 或 “落到” 或 “分摊到” 或 “落到” 或 “分摊到” 或 “落到、分摊到” 或 “轮到” 或 “挨到” 或 “轮到” 或 “挨到” 或 “轮到、挨到” 或 “临近” 或 “来临” 或 “临近” 或 “来临” 或 “临近、来临” 或 “出现” 或 “长出” 或 “出现” 或 “长出” 或 “出现、长出” 或 “发生” 或 “爆发” 或 “发生” 或 “爆发” 或 “发生、爆发” 或 “被放到……” 或 “被安置到……” 或 “归入” 或 “被放到……” 或 “被安置到……” 或 “归入” 或 “被放到……、被安置到……、归入” 或 “得到” 或 “获得” 或 “达到” 或 “得到” 或 “获得” 或 “达到” 或 “得到、获得、达到” 或 “丧失” 或 “失去” 或 “丧失” 或 “失去” 或 “丧失、失去” 或 “价值” 或 “花费” 或 “价值” 或 “花费” 或 “价值、花费” 或 “[口]价值、花费” 或 “消失” 或 “消失” 或 “探出” 或 “发现” 或 “想到” 或 “探出” 或 “发现” 或 “想到” 或 “探出、发现、想到” 或 “被……压死” 或 “被……压死”,meaningChinese,
模块 01,5f659acdfd24b5864ab9ce52,请播放音频 ，并拼写出您听到的 动词 。,fragen,dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4110884_161041744.mp3
模块 01,5f659994fd24b5864ab9ce4b,请播放音频 ，并拼写出您听到的 动词 。,wohnen,dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4112024_161392289.mp3
模块 01,5f659acdfd24b5864ab9ce53,请填写动词“fragen”的 一般现在时（Präsens） 动词变位表,frage,presentTenseConjugation,
模块 01,5f659a67fd24b5864ab9ce4e,请播放音频 ，并拼写出您听到的 动词 。,kommen,dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4111331_23791721.mp3
模块 01,5f659b2dfd24b5864ab9ce55,动词“学、学习”用德语怎么拼写？,lernen,word,
模块 01,5f659b2dfd24b5864ab9ce56,请播放音频 ，并拼写出您听到的 动词 。,lernen,dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/5f0e69f6e99aee22762ffcc01703094352577.mp3
模块 01,5f659b2dfd24b5864ab9ce57,请填写动词“lernen”的 一般现在时（Präsens） 动词变位表,lerne,presentTenseConjugation,
模块 01,5f659b56fd24b5864ab9ce58,动词“lernen”是什么意思？,“学” 或 “学习” 或 “学” 或 “学习” 或 “学、学习”,meaningChinese,
模块 01,5f659b85fd24b5864ab9ce59,动词“玩、做游戏、玩耍”用德语怎么拼写？,spielen,word,
模块 01,5f659b85fd24b5864ab9ce5a,请播放音频 ，并拼写出您听到的 动词 。,spielen,dictation,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4115002_15511587.mp3
模块 01,5f659b85fd24b5864ab9ce5b,请填写动词“spielen”的 一般现在时（Präsens） 动词变位表,spiele,presentTenseConjugation,
