模块,卡片ID,题目,音频链接
模块 01,6067afd226c2b0f5dd80f2d2,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067b02726c2b0f5dd80f2d3,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067b07d26c2b0f5dd80f2d4,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067b11d26c2b0f5dd80f2d5,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067b16b26c2b0f5dd80f2d6,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067b1da26c2b0f5dd80f2e4,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067b22a26c2b0f5dd80f2e5,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067b28526c2b0f5dd80f2e6,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067b2dc26c2b0f5dd80f2e7,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067b38726c2b0f5dd80f2e8,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067b47626c2b0f5dd80f2e9,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067b4e926c2b0f5dd80f2ef,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067b52a26c2b0f5dd80f2f0,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067b5a526c2b0f5dd80f2f2,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067b64926c2b0f5dd80f2f3,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067b68826c2b0f5dd80f2f4,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067b6c426c2b0f5dd80f2f5,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067b73b26c2b0f5dd80f2f6,请选出单词中的 最后一个辅音 和其他单词不同的那个单词：,
模块 01,6067b7a526c2b0f5dd80f2f7,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067b7fb26c2b0f5dd80f2f8,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067b85626c2b0f5dd80f2f9,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067b92726c2b0f5dd80f31f,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,6067b98c26c2b0f5dd80f334,请选出被标红的字母的发音和其他单词不同的那个单词：,
模块 01,5f64e23b9aaa9d99c3a59c9f,阳性名词“天、日、一天、一日、日子”用德语怎么拼写？,
模块 01,5f64f9d8463d62b8a226c567,请选择单词“Tag”的性,
模块 01,5f64f62e3bcaa9b323ee1b19,名词“der Tag”是什么意思？,
模块 01,5f65062d77d760c87d2a856a,请播放音频 ，并拼写出您听到的 阳性名词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4114670_191776064_zj723j.mp3
模块 01,5f651922b01aade4fc01084d,请播放音频 ，并拼写出您听到的 阴性名词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4115394_444728407.mp3
模块 01,5f651922b01aade4fc01084a,请选择单词“Sprache”的性,
模块 01,5f650401275e35c6a9b3953e,请拼写出名词“Tag”的复数形式。,
模块 01,5f651922b01aade4fc01084b,请拼写出名词“Sprache”的复数形式。,
模块 01,5f6519c7b01aade4fc01084e,名词“die Sprache”是什么意思？,
模块 01,5f651922b01aade4fc01084c,阴性名词“语言”用德语怎么拼写？,
模块 01,5f6519fbb01aade4fc010850,请拼写出名词“Jahr”的复数形式。,
模块 01,5f6519fbb01aade4fc010851,中性名词“年、岁”用德语怎么拼写？,
模块 01,5f6519fbb01aade4fc010852,请播放音频 ，并拼写出您听到的 中性名词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4117480_379736008.mp3
模块 01,5f651a3db01aade4fc010853,名词“das Jahr”是什么意思？,
模块 01,5f6d5cf5fe4e8e0b076a19dd,“阳性和中性单数不定冠词”用德语怎么拼写？,
模块 01,5f6d5cf5fe4e8e0b076a19de,请播放音频 ，并拼写出您听到的 单词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/lmwujsomfmrjwggtfyvz.mp3
模块 01,5f6d5d23fe4e8e0b076a19df,“阳性单数主格定冠词”用德语怎么拼写？,
模块 01,5f6d5d23fe4e8e0b076a19e0,请播放音频 ，并拼写出您听到的 单词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/bjryvuqzexs1v3hbgjr2.mp3
模块 01,5f6d5d2cfe4e8e0b076a19e1,“阴性单数主格定冠词”用德语怎么拼写？,
模块 01,5f6519fbb01aade4fc01084f,请选择单词“Jahr”的性,
模块 01,5f6d5d2dfe4e8e0b076a19e2,请播放音频 ，并拼写出您听到的 单词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/zstnaghwf3htsepge48i.mp3
模块 01,5f6d5d35fe4e8e0b076a19e3,“中性单数主格定冠词”用德语怎么拼写？,
模块 01,5f6d5d35fe4e8e0b076a19e4,请播放音频 ，并拼写出您听到的 单词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/f3ba2duthaciyjjbq3mt.mp3
模块 01,5f6e230c9d07b208e2101195,“复数主格定冠词”用德语怎么拼写？,
模块 01,5f872bc8a07f1b2b299640c8,“阴性单数主格不定冠词”用德语怎么拼写？,
模块 01,5f872bc8a07f1b2b299640c9,请播放音频 ，并拼写出您听到的 单词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/jf6cttaovvf5qjtnsuo0.mp3
模块 01,5f8a0d11cdda23045c1108cd,请播放音频 ，并提交您听到的 中性名词 的 中文意思。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4117480_379736008.mp3
模块 01,5f8a0d12cdda23045c1108da,请播放音频 ，并提交您听到的 阳性名词 的 中文意思。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4114670_191776064_zj723j.mp3
模块 01,5f8a0d12cdda23045c1108f1,请播放音频 ，并提交您听到的 阴性名词 的 中文意思。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4115394_444728407.mp3
模块 01,5f659a67fd24b5864ab9ce4f,请填写动词“kommen”的 一般现在时（Präsens） 动词变位表,
模块 01,5f6599c2fd24b5864ab9ce4c,请填写动词“wohnen”的 一般现在时（Präsens） 动词变位表,
模块 01,5f659acdfd24b5864ab9ce51,动词“问、提问、请教”用德语怎么拼写？,
模块 01,5f659a67fd24b5864ab9ce4d,动词“来、来到、到达、去、过来”用德语怎么拼写？,
模块 01,5f65991dfd24b5864ab9ce49,动词“wohnen”是什么意思？,
模块 01,5f659aadfd24b5864ab9ce50,动词“kommen”是什么意思？,
模块 01,5f659acdfd24b5864ab9ce52,请播放音频 ，并拼写出您听到的 动词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4110884_161041744.mp3
模块 01,5f659994fd24b5864ab9ce4b,请播放音频 ，并拼写出您听到的 动词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4112024_161392289.mp3
模块 01,5f659acdfd24b5864ab9ce53,请填写动词“fragen”的 一般现在时（Präsens） 动词变位表,
模块 01,5f659a67fd24b5864ab9ce4e,请播放音频 ，并拼写出您听到的 动词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4111331_23791721.mp3
模块 01,5f659b2dfd24b5864ab9ce55,动词“学、学习”用德语怎么拼写？,
模块 01,5f659b2dfd24b5864ab9ce56,请播放音频 ，并拼写出您听到的 动词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/5f0e69f6e99aee22762ffcc01703094352577.mp3
模块 01,5f659b2dfd24b5864ab9ce57,请填写动词“lernen”的 一般现在时（Präsens） 动词变位表,
模块 01,5f659b56fd24b5864ab9ce58,动词“lernen”是什么意思？,
模块 01,5f659b85fd24b5864ab9ce59,动词“玩、做游戏、玩耍”用德语怎么拼写？,
模块 01,5f659b85fd24b5864ab9ce5a,请播放音频 ，并拼写出您听到的 动词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4115002_15511587.mp3
模块 01,5f659b85fd24b5864ab9ce5b,请填写动词“spielen”的 一般现在时（Präsens） 动词变位表,
模块 01,5f659bacfd24b5864ab9ce5c,动词“spielen”是什么意思？,
模块 01,5f659bc7fd24b5864ab9ce5d,动词“工作、劳动”用德语怎么拼写？,
模块 01,5f659b18fd24b5864ab9ce54,动词“fragen”是什么意思？,
模块 01,5f659bc7fd24b5864ab9ce5e,请播放音频 ，并拼写出您听到的 动词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/5f5f7784fd4deff6910ae0ca1776568209439.mp3
模块 01,5f659bc7fd24b5864ab9ce5f,请填写动词“arbeiten”的 一般现在时（Präsens） 动词变位表,
模块 01,5f659c00fd24b5864ab9ce60,动词“arbeiten”是什么意思？,
模块 01,5f659c1bfd24b5864ab9ce61,动词“名叫”用德语怎么拼写？,
模块 01,5f659c1bfd24b5864ab9ce62,请播放音频 ，并拼写出您听到的 动词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4111695_403590219_lbx399.mp3
模块 01,5f659c1bfd24b5864ab9ce63,请填写动词“heißen”的 一般现在时（Präsens） 动词变位表,
模块 01,5f659d8bfd24b5864ab9ce67,动词“欢庆、庆祝、纪念、庆贺”用德语怎么拼写？,
模块 01,5f659d8cfd24b5864ab9ce68,请播放音频 ，并拼写出您听到的 动词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4116765_349729910.mp3
模块 01,5f659d8cfd24b5864ab9ce69,请填写动词“feiern”的 一般现在时（Präsens） 动词变位表,
模块 01,5f659dd7fd24b5864ab9ce6a,动词“feiern”是什么意思？,
模块 01,5f659e00fd24b5864ab9ce6b,动词“行驶、驾驶、开动、开、骑”用德语怎么拼写？,
模块 01,5f659e00fd24b5864ab9ce6c,请播放音频 ，并拼写出您听到的 动词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4111880_461734065.mp3
模块 01,5f659e00fd24b5864ab9ce6d,请填写动词“fahren”的 一般现在时（Präsens） 动词变位表,
模块 01,5f659e2dfd24b5864ab9ce6e,动词“fahren”是什么意思？,
模块 01,5f659e7afd24b5864ab9ce70,动词“睡、睡觉、睡眠”用德语怎么拼写？,
模块 01,5f659e7afd24b5864ab9ce71,请播放音频 ，并拼写出您听到的 动词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4111541_109426517.mp3
模块 01,5f659e7afd24b5864ab9ce72,请填写动词“schlafen”的 一般现在时（Präsens） 动词变位表,
模块 01,5f659e8ffd24b5864ab9ce73,动词“schlafen”是什么意思？,
模块 01,5f659e9ffd24b5864ab9ce74,动词“说、讲、说话、讲话”用德语怎么拼写？,
模块 01,5f659e9ffd24b5864ab9ce75,请播放音频 ，并拼写出您听到的 动词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4113087_120708383.mp3
模块 01,5f659e9ffd24b5864ab9ce76,请填写动词“sprechen”的 一般现在时（Präsens） 动词变位表,
模块 01,5f659ef2fd24b5864ab9ce77,动词“sprechen”是什么意思？,
模块 01,5f659f90fd24b5864ab9ce79,请播放音频 ，并拼写出您听到的 动词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4111424_172752765.mp3
模块 01,5f659f90fd24b5864ab9ce7a,请填写动词“nehmen”的 一般现在时（Präsens） 动词变位表,
模块 01,5f659fa0fd24b5864ab9ce7b,动词“拿、拿起”用德语怎么拼写？,
模块 01,5f65a128fd24b5864ab9ce80,动词“吃、食、食用”用德语怎么拼写？,
模块 01,5f65a128fd24b5864ab9ce81,请播放音频 ，并拼写出您听到的 动词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4110882_3283053.mp3
模块 01,5f65a128fd24b5864ab9ce82,请填写动词“essen”的 一般现在时（Präsens） 动词变位表,
模块 01,5f65a15dfd24b5864ab9ce83,动词“essen”是什么意思？,
模块 01,5f65a16afd24b5864ab9ce84,动词“读、阅读、朗读”用德语怎么拼写？,
模块 01,5f65a16afd24b5864ab9ce85,请播放音频 ，并拼写出您听到的 动词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4108298_54496835_pfawha.mp3
模块 01,5f65a16afd24b5864ab9ce86,请填写动词“lesen”的 一般现在时（Präsens） 动词变位表,
模块 01,5f65a185fd24b5864ab9ce87,动词“lesen”是什么意思？,
模块 01,5f65a1a0fd24b5864ab9ce89,请播放音频 ，并拼写出您听到的 动词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/gra0bhlohqt6bf6i8cl3.mp3
模块 01,5f65a1a0fd24b5864ab9ce8a,请填写动词“sein (是)”的 一般现在时（Präsens） 动词变位表,
模块 01,5f65a1b3fd24b5864ab9ce8b,动词“有、拥有、具有、具备（及物动词）”用德语怎么拼写？,
模块 01,5f65a1b3fd24b5864ab9ce8c,请播放音频 ，并拼写出您听到的 动词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4241520_507379790_nrxkwm.mp3
模块 01,5f65a1b4fd24b5864ab9ce8d,请填写动词“haben”的 一般现在时（Präsens） 动词变位表,
模块 01,5f65a1d1fd24b5864ab9ce8e,动词“haben”是什么意思？,
模块 01,5f663a2ebf09c24cdbccaac3,动词“住、居住、居、住宿”用德语怎么拼写？,
模块 01,5f665e832196727e1f41ccba,代词“我（第一人称单数主格人称代词）”用德语怎么拼写？,
模块 01,5f665e922196727e1f41ccbb,代词“你”用德语怎么拼写？,
模块 01,5f665ea22196727e1f41ccbc,代词“他”用德语怎么拼写？,
模块 01,5f665eb32196727e1f41ccbd,代词“她”用德语怎么拼写？,
模块 01,5f665ec22196727e1f41ccbe,代词“它（中性人称代词，有时也可以翻译成“他”或者“她”）”用德语怎么拼写？,
模块 01,5f665ecc2196727e1f41ccbf,代词“我们”用德语怎么拼写？,
模块 01,5f665f562196727e1f41ccc1,请播放音频 ，并拼写出您听到的 代词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4111002_42025969_uqkixv.mp3
模块 01,5f665f802196727e1f41ccc2,代词“他们、她们、它们”用德语怎么拼写？,
模块 01,5f665fa12196727e1f41ccc3,代词“您、您们、诸位”用德语怎么拼写？,
模块 01,5f665fb32196727e1f41ccc4,请播放音频 ，并拼写出您听到的 代词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4110789_408990785.mp3
模块 01,5f665fbe2196727e1f41ccc5,请播放音频 ，并拼写出您听到的 代词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4106667_72990169.mp3
模块 01,5f665fcb2196727e1f41ccc6,请播放音频 ，并拼写出您听到的 代词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4109200_149394484.mp3
模块 01,5f669cb084bba6ca64db3de2,副词“现在”用德语怎么拼写？,
模块 01,5f669cb084bba6ca64db3de3,请播放音频 ，并拼写出您听到的 副词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/b8m6mwiyq6n8i7pual5y.mp3
模块 01,5f669cbf84bba6ca64db3de4,副词“jetzt”是什么意思？,
模块 01,5f6a4921bf0a05e89b3ed89d,名词“das Deutsch”是什么意思？,
模块 01,5f6a4921bf0a05e89b3ed89e,中性名词“德语、德文”用德语怎么拼写？,
模块 01,5f6a4921bf0a05e89b3ed89f,请播放音频 ，并拼写出您听到的 中性名词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4107315_490552788.mp3
模块 01,5f6a9edfdb10cf0f5a6e01ed,名词“das China”是什么意思？,
模块 01,5f6a9edfdb10cf0f5a6e01ee,中性名词“中国”用德语怎么拼写？,
模块 01,5f6a9edfdb10cf0f5a6e01ef,请播放音频 ，并拼写出您听到的 中性名词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4116832_166090562.mp3
模块 01,5f847858c69dc1262a64c9ab,副词“hier”是什么意思？,
模块 01,5f847858c69dc1262a64c9ac,副词“这里、这儿、这、在这里、在这儿、在这”用德语怎么拼写？,
模块 01,5f847858c69dc1262a64c9ad,请播放音频 ，并拼写出您听到的 副词 。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4109099_280860889.mp3
模块 01,5f8a0d11cdda23045c1108ce,请播放音频 ，并提交您听到的 动词 的 中文意思。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/5f5f7784fd4deff6910ae0ca1776568209439.mp3
模块 01,5f8a0d11cdda23045c1108cf,请播放音频 ，并提交您听到的 副词 的 中文意思。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/b8m6mwiyq6n8i7pual5y.mp3
模块 01,5f8a0d11cdda23045c1108d1,请播放音频 ，并提交您听到的 动词 的 中文意思。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4111880_461734065.mp3
模块 01,5f8a0d11cdda23045c1108d2,请播放音频 ，并提交您听到的 动词 的 中文意思。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4112024_161392289.mp3
模块 01,5f8a0d11cdda23045c1108d3,请播放音频 ，并提交您听到的 动词 的 中文意思。,https://words-youlingo.oss-cn-shanghai.aliyuncs.com/ID4116765_349729910.mp3
